,INDEX,REMOTE,START_DATE,TENURE_YEARS,SALARY,AGE,DISTANCE_FROM_HOME_TO_OFFICE_MILES_IF_NOT_REMOTE,AVERAGE_COMMUTE_MINUTES_IF_NOT_REMOTE,CHANGE_READINESS_1,CHANGE_READINESS_2,CHANGE_READINESS_3,CHANGE_READINESS_4,CHANGE_READINESS_5,CHANGE_COMMITMENT_1,CHANGE_COMMITMENT_2,CHANGE_COMMITMENT_3,CHANGE_COMMITMENT_4,CHANGE_COMMITMENT_5,SLEEP_INTERVENTION,EXERCISE_INTERVENTION,SMOKING_INTERVENTION,PRE_HOURS_OF_SLEEP,PRE_QUALITY_OF_SLEEP,PRE_DAILY_EXERCISE_MIN,PRE_BMI,PRE_SMOKING,POST_HOURS_OF_SLEEP,POST_QUALITY_OF_SLEEP,POST_DAILY_EXERCISE,POST_BMI,POST_SMOKING,PRE_ABSENTEEISM_DAYS_MONTH,PRE_PERFORMANCE,PRE_INTENTION_TO_STAY,POST_INTENTION_TO_STAY,POST_ABSENTEEISM,POST_PERFORMANCE,PRE_ENGAGEMENT_QUESTION_1,PRE_ENGAGEMENT_QUESTION_2,PRE_ENGAGEMENT_QUESTION_3,PRE_SATISFACTION_QUESTION_1,PRE_SATISFACTION_QUESTION_2,PRE_SATISFACTION_QUESTION_3,POST_ENGAGEMENT_QUESTION_1,POST_ENGAGEMENT_QUESTION_2,POST_ENGAGEMENT_QUESTION_3,POST_SATISFACTION_QUESTION_1,POST_SATISFACTION_QUESTION_2,POST_SATISFACTION_QUESTION_3,GENDER_FEMALE,GENDER_MALE,CHILDREN__N,CHILDREN__Y,RACE_ASIAN,RACE_BLACK,RACE_HISPANIC,RACE_NATIVE_AMERICAN,RACE_TWO_OR_MORE_RACES,RACE_WHITE,OFFICE_LOCATION_CO,OFFICE_LOCATION_IL,OFFICE_LOCATION_MN,OFFICE_LOCATION_UT,EMPLOYEE_LEVEL_DIRECTOR,EMPLOYEE_LEVEL_JUNIOR,EMPLOYEE_LEVEL_MANAGER,EMPLOYEE_JOB_FAMILY_ACCOUNTING_AND_FINANCE,EMPLOYEE_JOB_FAMILY_ADMINISTRATIVE,EMPLOYEE_JOB_FAMILY_CUSTOMER_SERVICE,EMPLOYEE_JOB_FAMILY_LEGAL,EMPLOYEE_JOB_FAMILY_MARKETING_AND_SALES
0,REMOTE,1.0,0.02868784853086387,-0.0286878485308639,-0.012804520085758019,-0.01750921006906288,0.06467207621361168,0.07624413276927305,-0.018392912968750317,0.03468683336202884,0.0070427629931854975,-0.006820564499305705,-0.037780479237251724,0.024972302754914605,-0.003406682137483469,-0.007616561403023853,-0.040389089794745064,0.014950162623033749,-0.020385702847135884,0.028723074184324637,-0.024928774752404254,-0.049045152471601614,-0.05706408816718002,-0.11407278655921016,0.07574055411953294,-0.004133245692208556,0.06720221142901096,-0.1047553710055362,-0.07877263183121155,0.13801373143114004,0.02424728877736169,0.06539861558492652,-0.06834442520532837,-0.1769568240607341,-0.2027195394265092,0.0788205443182487,-0.2052359983696783,-0.2386062822783166,-0.20708116579080302,-0.2615314791392975,-0.01359128418406577,-0.01426761354877225,0.008819331456458385,-0.3580269049973501,-0.3171975070734599,-0.37954906589264475,0.40207064313796176,-0.02096651421441905,0.0029046901278935847,0.046733450125069666,-0.04673345012506963,-0.053176386896668794,0.053176386896668724,-0.06627434084892272,0.21304955481700025,-0.04252918675239256,0.055581594036948526,0.09698932060179057,-0.10504640083264608,0.024927826201587622,-0.006159230896991958,0.0034000762289900896,-0.022534052210338173,0.005162753749935946,0.005455618363383345,-0.00959126550595913,-0.02229197470327016,0.020383695565392383,-0.003436552921501284,0.0103971462924612,0.00038842801822106475
1,START_DATE,0.02868784853086387,1.0,-1.0000000000000007,-0.6519273378102489,-0.8210575751731154,-0.030482588932395218,-0.042761567860134145,-0.03848152815624322,-0.017322034924039484,-0.0014963054125114925,-0.01793697946526247,-0.015910881036241907,-0.03386240510447492,-0.015570910201046957,0.041738525523252794,0.003737479247123875,0.00383888491149314,-0.005536013855197399,0.659532331749285,-0.12081762770283885,0.03058765589222069,0.2496250773175224,0.13644571596335134,0.010996166044275302,-0.20410966760616112,0.020982681475223756,0.0846151989447024,0.16773970025070611,-0.03928593674223523,-0.18413320965842747,-0.1882345305650484,-0.22237020438144758,-0.7025176732043936,-0.6297599795191318,-0.11367599248306742,-0.24063881563085118,0.1255718642359791,0.05775973233434864,0.09712430453912964,-0.17705237908791382,-0.16171155281577623,-0.1910884099051164,0.04986982974582315,0.0021650208850757667,0.05497947450941259,-0.05628186295980314,-0.10237689135736165,-0.11364903864143008,0.04005958102870724,-0.0400595810287073,0.2112568564614424,-0.2112568564614421,-0.017038577244991287,-0.0732206578445082,0.0646497394594687,0.04499709323876568,0.054401033260906964,-0.007459762281098196,-0.07438969226009601,-0.0008533440923379234,0.03461613716491822,0.040219247794485706,-0.41320207316728924,0.653014694455386,-0.4728567921237289,-0.20116219237068905,0.0182206992705214,0.18298066706562474,-0.03333731939376331,-0.01771872240220737
2,TENURE_YEARS,-0.0286878485308639,-1.0000000000000007,1.0,0.6519273378102496,0.8210575751731146,0.03048258893239508,0.042761567860134006,0.038481528156242936,0.017322034924039293,0.0014963054125113552,0.017936979465262643,0.015910881036241803,0.03386240510447463,0.015570910201046536,-0.04173852552325294,-0.0037374792471242067,-0.0038388849114931642,0.005536013855198317,-0.6595323317492839,0.12081762770283927,-0.03058765589222055,-0.24962507731752215,-0.13644571596335076,-0.010996166044275713,0.20410966760616103,-0.020982681475223395,-0.08461519894470253,-0.16773970025070598,0.03928593674223486,0.18413320965842664,0.18823453056504827,0.22237020438144747,0.7025176732043941,0.6297599795191305,0.11367599248306666,0.24063881563085074,-0.12557186423597902,-0.057759732334348855,-0.09712430453912975,0.1770523790879138,0.1617115528157761,0.19108840990511589,-0.049869829745823026,-0.0021650208850759658,-0.054979474509412686,0.056281862959803634,0.10237689135736208,0.11364903864143064,-0.04005958102870704,0.04005958102870709,-0.2112568564614424,0.2112568564614422,0.017038577244991117,0.07322065784450772,-0.06464973945946893,-0.044997093238765454,-0.05440103326090713,0.007459762281098581,0.07438969226009615,0.0008533440923364162,-0.03461613716491863,-0.040219247794483735,0.41320207316728963,-0.653014694455386,0.4728567921237285,0.2011621923706892,-0.01822069927052149,-0.18298066706562466,0.033337319393762846,0.017718722402207482
3,SALARY,-0.012804520085758019,-0.6519273378102489,0.6519273378102496,1.0,0.6869603543061377,-0.002707455929235893,0.0030888887502266834,-0.01025226467487666,0.030984689283916757,-0.01598822381796341,0.07615292255457069,0.016066236441974153,0.06738264928535444,0.08228315330484924,-0.03423319638275787,0.020438362530827654,0.02284465831966785,0.010281794230918573,-0.5273710121162707,0.09675706937197379,-0.0036382331639734193,-0.38314422679938137,-0.1079879558575038,-0.006367993304955806,0.18221701161897555,-0.02056210814557648,-0.17525583600164604,-0.11670217318082528,0.03308520184966975,0.1654209668347744,0.18166349970651008,0.23385811554166733,0.4328977882573332,0.3958502921526986,0.10380485294596589,0.25026386557618163,-0.11538452238282364,-0.06367293353331575,-0.09271393951715216,0.18047236304755968,0.14305518746111115,0.19379924229817913,-0.033803262107756436,0.015273429012289199,-0.02396509621987191,0.07902074247918894,0.09624616789739189,0.12636725585451308,-0.10422452204266124,0.10422452204266133,-0.10687455368274411,0.10687455368274407,0.021642401502365932,0.10760000621109207,-0.07328302890430118,-0.029530483327229726,-0.04176547024998035,-0.018785966415190286,0.052558587223345235,-0.04009825911185569,0.0220747262185234,-0.033061469188973985,0.8478927192008329,-0.7762240963195101,0.32849799305194693,0.19990147458627167,-0.03747540029964273,-0.15824594258470456,0.004567594412835565,0.030554619499351666
4,AGE,-0.01750921006906288,-0.8210575751731154,0.8210575751731146,0.6869603543061377,1.0,0.023940393324687267,0.029948814512848115,0.02178265288088938,0.016231387221649796,0.007616323629123308,0.0211858497502249,-0.01856883296666337,0.05648725776544381,0.03502229372093905,-0.04253782331053549,-0.008963328351046546,0.01307576845813504,0.009906647240830109,-0.7435901273781081,0.12338510318402365,-0.029381500173407335,-0.31177538502490093,-0.17299972782263556,0.01716563858141614,0.22088566317675257,-0.024396531257992144,-0.10454878426243903,-0.20472280248737343,0.09600821438068079,0.19083271196772325,0.21664061657525754,0.2382312919615583,0.5764665185254931,0.5259563857780685,0.1394335380089831,0.2594369880897494,-0.12319559103994611,-0.07681194399254304,-0.11253082514616132,0.1923396207949509,0.18086562170376858,0.22014265682005263,-0.05049038266710198,-0.011063449364551474,-0.05179862992795801,0.08632075586419982,0.1316480810492332,0.15760814799042744,-0.02485635136227234,0.02485635136227231,-0.2199970720788559,0.21999707207885608,0.016508494631564098,0.13586564699127363,-0.05761543822350306,-0.024628433213566208,-0.0516543844922264,-0.03886484805823932,0.04692447162144719,-0.01986916826015219,0.0037032663247803252,-0.030106529605313376,0.43217813624740964,-0.7638958055263941,0.5866619867422426,0.18115063059693978,-0.00608398465915642,-0.16038597543526492,0.011095825665605434,0.017157470138148882
5,DISTANCE_FROM_HOME_TO_OFFICE_MILES_IF_NOT_REMOTE,0.06467207621361168,-0.030482588932395218,0.03048258893239508,-0.002707455929235893,0.023940393324687267,1.0,0.9736022170695408,0.008088640935185909,-0.020483850660345512,-0.008535811841213367,0.008980040948984755,0.000495333743301209,0.06295761706431433,0.033174796029680105,-0.007579842465106546,-0.004482464550041015,0.022690117357102666,0.010664434521572518,-0.034747061717025206,0.03112659371823409,-0.4584975456994798,-0.02491891816956431,-0.015378199904170602,0.025890319024021686,0.03353763785430471,-0.4262151230734325,-0.0007897555733207107,-0.007600440007429945,0.018775344062478144,0.025870089288136645,0.07330044672614566,0.01925603792365453,0.010377207162631297,-0.004601046201189898,0.04123563239163914,-0.00039920726854589413,-0.08759271998588282,-0.09331923473072425,-0.032815180296141576,-0.028946158778419714,0.00257356367728552,-0.019250665912197065,-0.022900335616986282,-0.0184683789813579,-0.012595921531195518,0.03190391436074329,-0.011507309502223785,-0.026915438687308745,0.054818266876895075,-0.05481826687689505,0.006465726072305044,-0.0064657260723050385,-0.017620164279763456,0.034168914479872664,0.034004446551334506,0.006351222505439763,-0.002354970810714892,-0.02846191396407007,-0.020038627524434523,0.08944408982220578,-0.008946385996207576,-0.07079547799439606,-0.006666066920170259,-0.005949903218061974,0.011138303020748745,-0.003769691137254475,-0.017421036930350714,-0.0006501840730740835,-0.009092735261593068,0.03235550597035608
6,AVERAGE_COMMUTE_MINUTES_IF_NOT_REMOTE,0.07624413276927305,-0.042761567860134145,0.042761567860134006,0.0030888887502266834,0.029948814512848115,0.9736022170695408,1.0,0.004990290015884827,-0.012089991003162232,-0.005851262729533372,-0.0053566129052582435,-0.004868337980222681,0.06478288500037246,0.027260575543563693,-0.01141695849616078,-0.004297614297586114,0.016585518988015715,0.010512249868831232,-0.045655577290778286,0.03214124803238456,-0.4678904007518001,-0.01590771424142895,-0.022266771805677987,0.0324341553019707,0.04105962481360008,-0.4336382956839901,0.002768390569571094,-0.014184763545415003,0.025427020013821286,0.03800407923149601,0.08935097392920606,0.013514412172416994,0.014328020098447613,-0.0036554935490132187,0.0594339886765158,-0.006984686200068278,-0.09613522340654058,-0.10498675518355159,-0.042852899419044,-0.03371144865214913,-0.0013593048537760368,-0.022727740342277345,-0.03304023658985928,-0.03184303551131316,-0.023245657155089052,0.031228388086649177,-0.01816962613864687,-0.029463221733768998,0.05355122272604165,-0.05355122272604164,0.015206073666353499,-0.015206073666353532,-0.01454679138645223,0.04790294231322475,0.03405424864171083,0.0045884296473386425,8.868250626687082e-05,-0.03928206298720072,-0.013904939117185199,0.07637433385892203,-0.00838153524054498,-0.0629591663440457,-0.001286009701837492,-0.00754756895669615,0.00943441260950389,-0.006393068167741671,-0.014346132777770602,-0.004349411609899033,-0.004971873362825708,0.03375883101604977
7,CHANGE_READINESS_1,-0.018392912968750317,-0.03848152815624322,0.038481528156242936,-0.01025226467487666,0.02178265288088938,0.008088640935185909,0.004990290015884827,1.0,0.025967423470997508,-0.030333196413114428,-0.005305021970838884,0.057483512387463756,0.006434511860006647,-0.031842739443721985,0.0242689165055395,0.04078298018147929,0.04013119406797279,-0.16972939126312964,-0.019848436877692204,-0.057109145829753724,0.030592245618476913,0.0034786976474672515,0.02837323678567506,-0.08670804651969179,-0.02365858135853375,0.011349215630854264,-0.01389415167815037,0.03098036958576695,-0.07525396343689046,-0.018393494977320065,-0.05686087051145892,0.013341898743418573,0.039383220307982164,0.03973121862994594,0.009797494225909018,-0.009099418882104833,0.03768675841313265,0.0014493937419194968,0.026252430312027217,0.02575219888397307,0.011813244794817074,0.01724466618166454,0.019704928838578092,-0.0022013734665086177,0.018646552518176616,-0.044952389899731604,-0.07148691772555632,-0.06515522462443012,-0.013763994617824028,0.013763994617823997,0.034244916366810096,-0.03424491636681009,0.0005573081730217231,-0.012681111039686064,-0.006570101617392362,0.013597728531786021,-0.009000237568496992,0.011318839850316563,0.001336352985779333,-0.010120315092352698,0.012413672798133166,-0.003458006273723222,-0.019033430143593526,-0.006070710370987518,0.01937365439935598,-0.017535331855386728,-0.014816959897796984,-0.02862521130182975,0.04023015778435006,0.03948402799642534
8,CHANGE_READINESS_2,0.03468683336202884,-0.017322034924039484,0.017322034924039293,0.030984689283916757,0.016231387221649796,-0.020483850660345512,-0.012089991003162232,0.025967423470997508,1.0,0.006056426987079758,0.025672673524089057,-0.02837520553525511,0.050285988154870745,-0.010688892695405532,0.003904818871480279,0.022826466958842294,0.013352612621877712,-0.16881995772453356,0.005568280725735621,0.025086973447622916,0.0027249249078766125,0.03998289596475546,0.015800827837819838,-0.03181263496094876,0.045455951299807944,-0.006697007090516803,0.02084064821483317,0.004351927032683857,0.0025471693680946504,0.035707153645522884,0.01271217386828456,-0.04859165533709111,-0.020371749107819224,-0.006016059114947335,0.013994270236705093,-0.04625894390534141,-0.03982762927447215,0.026525949494405208,-0.002869737086331747,-0.007084782884193059,-0.019352855194013124,-0.04578548658211587,-0.05943027832208983,-0.03265900982602115,-0.013371445653865579,-0.0799659256926655,-0.0956497641144333,-0.10475508826241929,-0.043538163616310036,0.04353816361630999,-0.02801313652986617,0.02801313652986614,0.029656229075747997,-0.001351410417207731,-0.06779956783728706,-0.00746199725396842,0.023600761681440784,0.0126200699993816,0.01699467709261626,-0.024384232945811865,0.0245140667560425,-0.01670603501952698,0.03269977104428507,-0.011977378730359887,-0.007775552573129318,-0.0445055779014724,-0.007829333307405725,-0.018793023220661394,0.040014599038278746,0.05001569520357597
9,CHANGE_READINESS_3,0.0070427629931854975,-0.0014963054125114925,0.0014963054125113552,-0.01598822381796341,0.007616323629123308,-0.008535811841213367,-0.005851262729533372,-0.030333196413114428,0.006056426987079758,1.0,0.05093327917568915,-0.01026827745942063,-0.0283936973751064,0.02259339743884646,0.02138487357758073,-0.0033472229773493234,0.016635532885728395,-0.09596029704631946,0.006847620876578336,-0.06747840348865373,0.02625071300776976,0.0003528538610253731,0.026852949727340626,0.009636988552593803,-0.033607920155236844,0.05071796388063561,0.019385489585813837,0.020011978143331072,-0.03814578903435809,-0.030598098534431163,-0.05253032208924492,-0.011368043285779013,0.010675875893475913,0.002093631251594546,-0.05063900317679356,-0.014820106956457262,0.005803238811193609,0.039417659893027646,0.05050780092309635,0.020598835840946027,-0.016234043154311997,0.04958215447697261,0.03285972164296356,0.05182371120682915,0.09635124198116761,-0.0146948535989388,-0.05296514113136371,-0.027560251406788434,0.011344764665753146,-0.011344764665753196,0.037712946023994824,-0.03771294602399474,0.0016592634113503013,-0.005713087514458872,-0.0439441901518454,0.04814529431409016,-0.005109704757514844,0.01912610896132339,-0.08086325005710564,0.02110402879745434,0.030797443833503347,0.02621780327514822,-0.009818603702601496,0.016753776027594845,-0.012644015091926308,-0.005131062714225359,0.011220701091613496,-0.045086279812151776,0.023071463755059137,0.03876629491141794
