,REMOTE,START_DATE,TENURE_YEARS,SALARY,AGE,DISTANCE_FROM_HOME_TO_OFFICE_MILES_IF_NOT_REMOTE,AVERAGE_COMMUTE_MINUTES_IF_NOT_REMOTE,CHANGE_READINESS_1,CHANGE_READINESS_2,CHANGE_READINESS_3,CHANGE_READINESS_4,CHANGE_READINESS_5,CHANGE_COMMITMENT_1,CHANGE_COMMITMENT_2,CHANGE_COMMITMENT_3,CHANGE_COMMITMENT_4,CHANGE_COMMITMENT_5,SLEEP_INTERVENTION,EXERCISE_INTERVENTION,SMOKING_INTERVENTION,PRE_HOURS_OF_SLEEP,PRE_QUALITY_OF_SLEEP,PRE_DAILY_EXERCISE_MIN,PRE_BMI,PRE_SMOKING,POST_HOURS_OF_SLEEP,POST_QUALITY_OF_SLEEP,POST_DAILY_EXERCISE,POST_BMI,POST_SMOKING,PRE_ABSENTEEISM_DAYS_MONTH,PRE_PERFORMANCE,PRE_INTENTION_TO_STAY,POST_INTENTION_TO_STAY,POST_ABSENTEEISM,POST_PERFORMANCE,PRE_ENGAGEMENT_QUESTION_1,PRE_ENGAGEMENT_QUESTION_2,PRE_ENGAGEMENT_QUESTION_3,PRE_SATISFACTION_QUESTION_1,PRE_SATISFACTION_QUESTION_2,PRE_SATISFACTION_QUESTION_3,POST_ENGAGEMENT_QUESTION_1,POST_ENGAGEMENT_QUESTION_2,POST_ENGAGEMENT_QUESTION_3,POST_SATISFACTION_QUESTION_1,POST_SATISFACTION_QUESTION_2,POST_SATISFACTION_QUESTION_3,GENDER_FEMALE,GENDER_MALE,CHILDREN__N,CHILDREN__Y,RACE_ASIAN,RACE_BLACK,RACE_HISPANIC,RACE_NATIVE_AMERICAN,RACE_TWO_OR_MORE_RACES,RACE_WHITE,OFFICE_LOCATION_CO,OFFICE_LOCATION_IL,OFFICE_LOCATION_MN,OFFICE_LOCATION_UT,EMPLOYEE_LEVEL_DIRECTOR,EMPLOYEE_LEVEL_JUNIOR,EMPLOYEE_LEVEL_MANAGER,EMPLOYEE_JOB_FAMILY_ACCOUNTING_AND_FINANCE,EMPLOYEE_JOB_FAMILY_ADMINISTRATIVE,EMPLOYEE_JOB_FAMILY_CUSTOMER_SERVICE,EMPLOYEE_JOB_FAMILY_LEGAL,EMPLOYEE_JOB_FAMILY_MARKETING_AND_SALES
0,0,1652659200,2.229973371549168,33162.175131966906,22.0,3.8468369545707164,10,1,4,1,3,4,2,1,4,2,1,1,1,0,9,4,15,20,0,9,4,15,24,0,1,5,3,3,1,5,3,3,2,3,4,4,1,1,1,4,5,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
1,1,1446768000,8.754271797284966,57386.700000000004,33.0,8.843853439009948,10,1,2,2,4,4,3,2,3,5,2,1,0,0,6,5,27,25,0,6,5,27,27,0,0,2,5,5,0,2,5,2,1,4,5,5,4,1,1,5,5,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
2,0,1642291200,2.5585154660050202,30918.271827985096,22.0,3.816648398201929,10,1,2,2,4,3,1,4,1,2,5,1,1,0,5,5,59,25,0,5,5,59,20,0,0,1,1,2,0,2,5,5,1,4,3,4,4,2,1,5,4,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3,0,1534809600,5.964401845197354,25974.9,31.0,30.423152420068092,34,2,5,1,1,5,3,4,2,4,4,1,0,1,6,3,7,27,8,7,3,7,23,1,3,4,3,4,1,4,1,1,1,3,3,3,3,4,4,4,4,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
4,0,1408665600,9.961663994410223,44756.25,32.0,23.199678723348647,31,3,2,3,2,4,5,4,4,1,1,1,0,0,7,3,8,26,0,7,3,8,24,0,1,3,4,4,1,3,1,3,2,3,3,3,1,3,3,4,4,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5,1,1432512000,9.206017177161762,38496.15,31.0,7.956913191350022,15,4,1,1,1,4,2,1,4,1,4,1,0,0,10,4,22,21,0,10,4,22,20,0,1,5,5,5,0,4,2,4,1,5,5,3,2,4,1,5,5,4,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
6,1,1601164800,3.8617324406799005,39681.6,26.0,24.064354849373082,32,4,3,4,3,4,5,5,1,2,5,1,1,0,6,3,11,24,0,7,3,29,20,0,1,2,1,1,1,1,2,2,2,3,3,3,1,1,2,5,4,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
7,1,1609200000,3.607112317476615,31565.405914191066,24.0,20.41862812260622,25,3,3,3,1,4,4,4,1,2,1,1,1,0,7,4,28,32,0,8,4,28,25,0,0,2,1,1,0,1,2,5,1,3,3,3,1,5,1,5,4,4,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
8,0,1591660800,4.1628960272644315,91417.68000000001,31.472663087764563,14.077053903360696,18,3,3,3,3,3,3,3,3,3,3,0,0,0,6,3,18,30,0,6,3,19,31,0,1,4,1,1,1,5,1,1,3,3,5,4,2,1,3,3,5,4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9,0,1583020800,4.436681105977642,33584.25,32.31310989819515,2.873508623122439,9,3,3,3,3,3,3,3,3,3,3,0,0,0,5,5,25,21,9,4,4,25,19,9,1,5,2,2,0,5,1,2,3,5,5,5,1,1,3,5,5,4,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
