,Level 1,Level 2,Level 3,Level 4,Level 5,Outcome
0,"POST_SATISFACTION_QUESTION_1 <= 4.50
class = Not Remote","class = Not Remote
",,,,
1,POST_SATISFACTION_QUESTION_1 > 4.50,"POST_ENGAGEMENT_QUESTION_3 <= 2.50
class = Not Remote","POST_PERFORMANCE <= 4.50
class = Remote","PRE_SATISFACTION_QUESTION_1 <= 3.50
class = Remote","POST_ENGAGEMENT_QUESTION_1 <= 2.50
class = Remote","class = Remote
"
2,POST_SATISFACTION_QUESTION_1 > 4.50,"POST_ENGAGEMENT_QUESTION_3 <= 2.50
class = Not Remote","POST_PERFORMANCE <= 4.50
class = Remote","PRE_SATISFACTION_QUESTION_1 <= 3.50
class = Remote",POST_ENGAGEMENT_QUESTION_1 > 2.50,"class = Remote
"
3,POST_SATISFACTION_QUESTION_1 > 4.50,"POST_ENGAGEMENT_QUESTION_3 <= 2.50
class = Not Remote","POST_PERFORMANCE <= 4.50
class = Remote",PRE_SATISFACTION_QUESTION_1 > 3.50,"PRE_PERFORMANCE <= 4.50
class = Remote","class = Remote
"
4,POST_SATISFACTION_QUESTION_1 > 4.50,"POST_ENGAGEMENT_QUESTION_3 <= 2.50
class = Not Remote","POST_PERFORMANCE <= 4.50
class = Remote",PRE_SATISFACTION_QUESTION_1 > 3.50,PRE_PERFORMANCE > 4.50,"class = Remote
"
5,POST_SATISFACTION_QUESTION_1 > 4.50,"POST_ENGAGEMENT_QUESTION_3 <= 2.50
class = Not Remote",POST_PERFORMANCE > 4.50,"class = Not Remote
",,
6,POST_SATISFACTION_QUESTION_1 > 4.50,POST_ENGAGEMENT_QUESTION_3 > 2.50,"POST_PERFORMANCE <= 4.50
class = Not Remote","PRE_PERFORMANCE <= 4.50
class = Not Remote","POST_ENGAGEMENT_QUESTION_1 <= 3.50
class = Not Remote","class = Not Remote
"
7,POST_SATISFACTION_QUESTION_1 > 4.50,POST_ENGAGEMENT_QUESTION_3 > 2.50,"POST_PERFORMANCE <= 4.50
class = Not Remote","PRE_PERFORMANCE <= 4.50
class = Not Remote",POST_ENGAGEMENT_QUESTION_1 > 3.50,"class = Not Remote
"
8,POST_SATISFACTION_QUESTION_1 > 4.50,POST_ENGAGEMENT_QUESTION_3 > 2.50,"POST_PERFORMANCE <= 4.50
class = Not Remote",PRE_PERFORMANCE > 4.50,"OFFICE_LOCATION_MN <= 0.50
class = Remote","class = Remote
"
9,POST_SATISFACTION_QUESTION_1 > 4.50,POST_ENGAGEMENT_QUESTION_3 > 2.50,"POST_PERFORMANCE <= 4.50
class = Not Remote",PRE_PERFORMANCE > 4.50,OFFICE_LOCATION_MN > 0.50,"class = Not Remote
"
10,POST_SATISFACTION_QUESTION_1 > 4.50,POST_ENGAGEMENT_QUESTION_3 > 2.50,POST_PERFORMANCE > 4.50,"class = Not Remote
",,
