Node ID,Left Child,Right Child,Feature,Threshold,Value
0,1,2,POST_SATISFACTION_QUESTION_1,4.5,0
1,-1,-1,Leaf,-2.0,0
2,3,12,POST_ENGAGEMENT_QUESTION_3,2.5,0
3,4,11,POST_PERFORMANCE,4.5,1
4,5,8,PRE_SATISFACTION_QUESTION_1,3.5,1
5,6,7,POST_ENGAGEMENT_QUESTION_1,2.5,1
6,-1,-1,Leaf,-2.0,1
7,-1,-1,Leaf,-2.0,1
8,9,10,PRE_PERFORMANCE,4.5,1
9,-1,-1,Leaf,-2.0,1
10,-1,-1,Leaf,-2.0,1
11,-1,-1,Leaf,-2.0,0
12,13,20,POST_PERFORMANCE,4.5,0
13,14,17,PRE_PERFORMANCE,4.5,0
14,15,16,POST_ENGAGEMENT_QUESTION_1,3.5,0
15,-1,-1,Leaf,-2.0,0
16,-1,-1,Leaf,-2.0,0
17,18,19,OFFICE_LOCATION_MN,0.5,1
18,-1,-1,Leaf,-2.0,1
19,-1,-1,Leaf,-2.0,0
20,-1,-1,Leaf,-2.0,0
